Wall time,Step,Value
1775913386.9901586,800,110.67872619628906
1775913387.4176552,1410,139.40005493164062
1775913387.8749712,2020,157.8891143798828
1775913388.3660467,2630,165.65773010253906
1775913388.8786209,3240,141.1665496826172
1775913389.4061315,3850,117.36410522460938
1775913389.9300797,4460,41.407569885253906
1775913390.4252348,5070,19.353134155273438
1775913390.9100184,5680,53.354026794433594
1775913391.3918855,6290,61.80248260498047
1775913391.857852,6900,25.842315673828125
1775913392.3135278,7510,43.14772415161133
1775913392.7649865,8120,32.82140350341797
1775913393.1998956,8730,20.448184967041016
1775913393.6240702,9340,12.31618595123291
1775913394.0585284,9950,5.588142395019531
1775913394.4622788,10560,2.4101552963256836
1775913394.8509398,11170,3.290579319000244
1775913395.2505014,11780,2.0823330879211426
1775913395.6592157,12390,1.2655766010284424
1775913396.0507727,13000,1.6948446035385132
1775913396.4441953,13610,1.9518587589263916
1775913396.846308,14220,1.8242032527923584
1775913397.270985,14830,2.0716381072998047
1775913397.7148101,15440,2.5225131511688232
1775913398.187506,16050,2.0019030570983887
1775913398.6840513,16660,3.032224655151367
1775913399.1989605,17270,4.427117824554443
1775913399.7193284,17880,4.586113929748535
1775913400.2212982,18490,3.9068431854248047
1775913400.7241647,19100,2.8176050186157227
1775913401.2084777,19710,5.935309886932373
1775913401.6921396,20320,4.388031482696533
1775913402.1561608,20930,5.84786319732666
1775913402.6215405,21540,4.717243194580078
1775913403.0536501,22150,3.0220282077789307
1775913403.4975152,22760,4.108667373657227
1775913403.925196,23370,3.054992914199829
1775913404.3303373,23980,2.4195659160614014
1775913404.7277422,24590,3.605208396911621
1775913405.1470017,25200,3.1028919219970703
1775913405.570407,25810,2.2232189178466797
1775913406.0059419,26420,2.551729202270508
1775913406.4159012,27030,2.761777400970459
1775913406.8223138,27640,1.9980592727661133
1775913407.2164807,28250,2.8283069133758545
1775913407.611038,28860,2.3007359504699707
1775913408.0124824,29470,2.409123659133911
1775913408.4129777,30080,2.506688117980957
1775913408.8394032,30690,4.057837963104248
1775913409.236691,31300,4.247681617736816
1775913409.6405115,31910,3.242873191833496
1775913410.0859194,32520,3.681150436401367
1775913410.4919355,33130,2.740802764892578
1775913410.882048,33740,3.828963279724121
1775913411.2732434,34350,2.6264448165893555
1775913411.687162,34960,3.411045551300049
1775913412.13228,35570,2.7903590202331543
1775913412.5951033,36180,4.091244697570801
1775913413.084918,36790,4.286564826965332
1775913413.5844676,37400,3.343233346939087
1775913414.0822284,38010,2.900696277618408
1775913414.5564322,38620,4.717894077301025
1775913415.0321083,39230,2.0760905742645264
1775913415.4856317,39840,2.3052761554718018
1775913415.9161222,40450,2.8817951679229736
1775913416.3320258,41060,2.379178524017334
1775913416.7442622,41670,2.822709083557129
1775913417.1614635,42280,2.7628509998321533
1775913417.5524898,42890,3.3355319499969482
1775913417.9495137,43500,2.234124183654785
1775913418.3659806,44110,2.964729070663452
1775913418.768901,44720,2.9546210765838623
1775913419.1761932,45330,2.391303062438965
1775913419.6211224,45940,2.6343483924865723
1775913420.05655,46550,2.55045747756958
1775913420.497093,47160,2.1281309127807617
1775913420.9339697,47770,2.470003128051758
1775913421.359112,48380,2.163451671600342
1775913421.789521,48990,2.757880687713623
1775913422.208873,49600,2.361027956008911
1775913422.6123588,50210,2.0748844146728516
1775913423.0168903,50820,2.0309066772460938
1775913423.4023046,51430,2.389951229095459
1775913423.8084636,52040,2.01393461227417
1775913424.2194202,52650,2.144867420196533
1775913424.6112967,53260,2.388969898223877
1775913424.996499,53870,2.2611441612243652
1775913425.4002433,54480,2.340172290802002
1775913425.812992,55090,2.3896255493164062
1775913426.2401586,55700,2.048476457595825
1775913426.6848135,56310,1.985032081604004
1775913427.1286006,56920,2.4058382511138916
1775913427.5248556,57530,2.48298978805542
1775913427.938309,58140,2.052598476409912
1775913428.3579118,58750,2.1170847415924072
1775913428.7580972,59360,2.463942766189575
1775913429.1804383,59970,2.526207447052002
1775913429.5872293,60580,2.1458539962768555
1775913430.0083163,61190,2.959010124206543
1775913430.4155862,61800,1.9041966199874878
1775913430.810386,62410,1.7382237911224365
1775913431.2020216,63020,1.893845796585083
1775913431.599273,63630,3.3670949935913086
1775913432.0076363,64240,2.0116195678710938
1775913432.4088795,64850,2.4773645401000977
1775913432.8070166,65460,2.327432632446289
1775913433.1993737,66070,2.21773624420166
1775913433.592673,66680,1.8870646953582764
1775913434.036246,67290,2.1906495094299316
1775913434.4701257,67900,2.064772605895996
1775913434.9427307,68510,2.1681838035583496
1775913435.434675,69120,1.7438820600509644
1775913435.9372516,69730,1.676661491394043
1775913436.4207013,70340,1.2688255310058594
1775913436.8659518,70950,1.873536229133606
1775913437.298746,71560,2.6395981311798096
1775913437.7212458,72170,1.6424567699432373
1775913438.140905,72780,1.3490904569625854
1775913438.5585299,73390,1.151859998703003
1775913438.955705,74000,1.4063761234283447
1775913439.3644392,74610,1.3482060432434082
1775913439.7873647,75220,1.504478931427002
1775913440.1941812,75830,1.4493328332901
1775913440.6159093,76440,1.4036599397659302
1775913441.0266294,77050,1.22389817237854
1775913441.466801,77660,1.357516884803772
1775913441.9048858,78270,0.9952260255813599
1775913442.3358228,78880,1.3778996467590332
1775913442.7665784,79490,1.752446174621582
1775913443.2046456,80100,1.0040245056152344
1775913443.6236887,80710,1.037846326828003
1775913444.038403,81320,1.200034260749817
1775913444.446309,81930,1.0711638927459717
1775913444.837647,82540,1.153883934020996
1775913445.2314801,83150,0.8846621513366699
1775913445.6436815,83760,0.6992660760879517
1775913446.051536,84370,0.9763855338096619
1775913446.4509249,84980,0.7983061075210571
1775913446.8460786,85590,0.9911949038505554
1775913447.2503443,86200,0.7235208749771118
1775913447.6996238,86810,0.6282368302345276
1775913448.1737332,87420,0.7514362931251526
1775913448.671371,88030,0.5540249347686768
1775913449.212329,88640,0.5695582628250122
1775913449.7466872,89250,0.6831032037734985
1775913450.2536426,89860,0.4739949405193329
1775913450.776771,90470,0.5055624842643738
1775913451.278915,91080,0.5117492079734802
1775913451.756317,91690,0.5264558792114258
1775913452.2163334,92300,0.5074422359466553
1775913452.6602707,92910,0.4247558116912842
1775913453.09775,93520,0.4417338967323303
1775913453.5260763,94130,0.4808742105960846
1775913453.9488714,94740,0.5570735931396484
1775913454.3567214,95350,0.6144053339958191
1775913454.7690523,95960,0.4043271243572235
1775913455.1650558,96570,0.48995721340179443
1775913455.59342,97180,0.6343799829483032
1775913456.0179644,97790,0.42558521032333374
1775913456.4399529,98400,0.636034369468689
1775913456.8461204,99010,0.7412171363830566
1775913457.2829733,99620,0.5696237087249756
