Wall time,Step,Value
1775932962.0483096,2048,5.25
1775932964.8112223,4096,5.789999961853027
1775932967.541143,6144,6.71999979019165
1775932970.298646,8192,6.03000020980835
1775932973.087966,10240,7.809999942779541
1775932975.828048,12288,6.900000095367432
1775932978.5603895,14336,8.420000076293945
1775932981.7469447,16384,6.760000228881836
1775932984.943785,18432,7.170000076293945
1775932987.8389883,20480,7.71999979019165
1775932990.7777383,22528,7.329999923706055
1775932993.8227787,24576,7.840000152587891
1775932996.8909645,26624,8.380000114440918
1775932999.9180539,28672,6.889999866485596
1775933003.0902042,30720,8.300000190734863
1775933006.0555272,32768,7.510000228881836
1775933008.990539,34816,8.029999732971191
1775933011.954535,36864,10.170000076293945
1775933014.9272494,38912,8.430000305175781
1775933018.0503516,40960,8.630000114440918
1775933020.894839,43008,8.510000228881836
1775933023.6073306,45056,9.989999771118164
1775933026.380171,47104,9.270000457763672
1775933029.094386,49152,8.329999923706055
1775933031.7890527,51200,9.3100004196167
1775933034.4660249,53248,9.59000015258789
1775933037.1461055,55296,11.029999732971191
1775933039.8433218,57344,10.369999885559082
1775933042.657475,59392,8.119999885559082
1775933045.3215458,61440,10.300000190734863
1775933048.008513,63488,9.510000228881836
1775933050.6994014,65536,8.8100004196167
1775933053.3338377,67584,11.0
1775933055.9570382,69632,10.010000228881836
1775933058.6523871,71680,9.739999771118164
1775933061.357842,73728,10.880000114440918
1775933064.0883386,75776,11.399999618530273
1775933066.755423,77824,11.600000381469727
1775933069.4738753,79872,11.539999961853027
1775933072.1273263,81920,11.180000305175781
1775933074.766752,83968,13.119999885559082
1775933077.4825873,86016,13.170000076293945
1775933080.1875596,88064,13.050000190734863
1775933082.892814,90112,13.369999885559082
1775933085.5987914,92160,12.829999923706055
1775933088.2843692,94208,13.539999961853027
1775933091.0017262,96256,12.710000038146973
1775933093.7291973,98304,11.989999771118164
1775933096.4084406,100352,13.609999656677246
1775933099.1230068,102400,13.850000381469727
1775933101.922421,104448,15.539999961853027
1775933104.6387866,106496,13.40999984741211
1775933107.3400478,108544,12.5
1775933110.0496147,110592,15.270000457763672
1775933112.715309,112640,15.819999694824219
1775933115.4060788,114688,16.690000534057617
1775933118.0354946,116736,15.329999923706055
1775933120.7330465,118784,17.649999618530273
1775933123.3932297,120832,18.610000610351562
1775933126.0689454,122880,15.510000228881836
1775933128.7281299,124928,16.079999923706055
1775933131.361623,126976,14.550000190734863
1775933133.986329,129024,17.760000228881836
1775933136.6623015,131072,20.450000762939453
1775933139.3500886,133120,19.1200008392334
1775933142.029224,135168,21.059999465942383
1775933144.6981163,137216,18.15999984741211
1775933147.3510349,139264,18.440000534057617
1775933150.0123131,141312,17.639999389648438
1775933152.6739285,143360,17.489999771118164
1775933155.330728,145408,16.40999984741211
1775933158.1567483,147456,21.09000015258789
1775933160.9559062,149504,16.520000457763672
1775933163.6507845,151552,21.389999389648438
1775933166.3066828,153600,19.280000686645508
1775933168.9711585,155648,19.889999389648438
1775933171.6363747,157696,21.06999969482422
1775933174.3593037,159744,22.040000915527344
1775933177.0358377,161792,19.280000686645508
1775933179.7077055,163840,21.520000457763672
1775933182.372966,165888,21.90999984741211
1775933185.036189,167936,20.170000076293945
1775933187.6573067,169984,20.260000228881836
1775933190.317708,172032,24.5
1775933192.9063861,174080,28.540000915527344
1775933195.570474,176128,26.360000610351562
1775933198.2235303,178176,26.809999465942383
1775933200.898071,180224,25.579999923706055
1775933203.5560973,182272,20.950000762939453
1775933206.1651697,184320,25.079999923706055
1775933208.7835195,186368,20.209999084472656
1775933211.4340641,188416,26.950000762939453
1775933214.1247966,190464,27.299999237060547
1775933216.8317056,192512,26.139999389648438
1775933219.514,194560,30.329999923706055
1775933222.2584298,196608,25.690000534057617
1775933224.9377189,198656,26.719999313354492
1775933227.609677,200704,27.469999313354492
1775933230.2604852,202752,28.3700008392334
1775933232.9113932,204800,24.8700008392334
1775933235.516205,206848,28.15999984741211
1775933238.1795256,208896,28.65999984741211
1775933240.8163803,210944,27.5
1775933243.4013615,212992,29.1200008392334
1775933246.0810642,215040,29.399999618530273
1775933248.7272055,217088,26.81999969482422
1775933251.392674,219136,31.479999542236328
1775933254.0681345,221184,26.229999542236328
1775933256.7364726,223232,26.84000015258789
1775933259.455162,225280,29.799999237060547
1775933262.1550603,227328,29.34000015258789
1775933264.7726274,229376,27.989999771118164
1775933267.3765073,231424,27.420000076293945
1775933270.005235,233472,28.34000015258789
1775933272.6195414,235520,28.81999969482422
1775933275.255865,237568,33.619998931884766
1775933277.900188,239616,29.739999771118164
1775933280.617236,241664,32.54999923706055
1775933283.2725365,243712,35.099998474121094
1775933285.903738,245760,34.4900016784668
1775933288.5405147,247808,35.86000061035156
1775933291.3823268,249856,36.20000076293945
1775933294.0517545,251904,36.130001068115234
1775933296.6866474,253952,36.61000061035156
1775933299.2790947,256000,33.599998474121094
1775933301.8890166,258048,37.849998474121094
1775933304.5325534,260096,41.83000183105469
1775933307.1611955,262144,42.68000030517578
1775933309.7402442,264192,45.91999816894531
1775933312.3523264,266240,43.369998931884766
1775933315.0053318,268288,41.22999954223633
1775933317.6280105,270336,43.22999954223633
1775933320.4194398,272384,46.02000045776367
1775933323.4611835,274432,41.90999984741211
1775933326.2110054,276480,43.970001220703125
1775933328.8068984,278528,45.459999084472656
