Wall time,Step,Value
1775988096.4926844,5100,9021.033203125
1775988097.1465752,5720,36.76533508300781
1775988097.7969751,6340,55.55023956298828
1775988098.4412167,6960,23.489540100097656
1775988099.0952177,7585,44.04064178466797
1775988099.7165546,8200,18.43297004699707
1775988100.3520577,8810,15.525833129882812
1775988100.9923213,9425,14.076367378234863
1775988101.6197689,10040,3.1870052814483643
1775988102.2731855,10650,3.5085315704345703
1775988102.9155376,11255,3.969146490097046
1775988103.583052,11865,2.0756163597106934
1775988104.2629218,12495,2.3925185203552246
1775988104.921533,13110,4.291942596435547
1775988105.5536556,13710,5.244378566741943
1775988106.230569,14345,5.61102294921875
1775988106.8659167,14960,6.829404830932617
1775988107.4876268,15570,6.418639183044434
1775988108.1264117,16180,6.472382068634033
1775988108.7595527,16795,4.446049213409424
1775988109.3848548,17415,5.482555389404297
1775988110.002636,18030,4.828616142272949
1775988110.6578186,18655,5.636813163757324
1775988111.3186584,19280,5.631351470947266
1775988111.974887,19905,4.305126667022705
1775988112.658448,20525,3.8373351097106934
1775988113.3181243,21130,6.090517044067383
1775988113.9693947,21745,5.905978202819824
1775988114.6427681,22370,2.313920736312866
1775988115.2688956,22985,4.027871608734131
1775988115.928238,23600,3.943969249725342
1775988116.591525,24210,2.831803321838379
1775988117.2178006,24825,1.9112663269042969
1775988117.8818333,25445,1.8986328840255737
1775988118.5060759,26070,1.0955169200897217
1775988119.1472578,26680,98.47490692138672
1775988119.7958791,27305,2.010648488998413
1775988120.464522,27920,2.7120022773742676
1775988121.0988505,28530,1.8730847835540771
1775988121.7595406,29145,1.6555873155593872
1775988122.4190269,29770,2.164161205291748
1775988123.0537229,30385,1.3668090105056763
1775988123.672815,30985,2.339235782623291
1775988124.3361142,31605,0.5646095275878906
1775988125.0052338,32220,0.7751595973968506
1775988125.66559,32850,0.4357191324234009
1775988126.2946353,33470,0.9206963181495667
1775988126.9315798,34085,0.9756524562835693
1775988127.5436354,34695,1.0173001289367676
1775988128.1656544,35315,2.0439560413360596
1775988128.8144634,35935,1.3503868579864502
1775988129.4779243,36560,1.1714398860931396
1775988130.1154075,37185,1.0497887134552002
1775988130.746217,37795,35.22515106201172
1775988131.3737252,38405,4.414329528808594
1775988132.0102975,39010,2.0278830528259277
1775988132.6589973,39620,10.133309364318848
1775988133.3211758,40245,1.3771365880966187
1775988133.976489,40870,3.2756259441375732
1775988134.6433384,41490,1.67336106300354
1775988135.2725499,42100,1.8880175352096558
1775988135.9127307,42725,2.200000047683716
1775988136.5467055,43345,1.2932147979736328
1775988137.1962473,43970,2.6183528900146484
1775988137.871258,44590,1.9333746433258057
1775988138.5346386,45215,2.9890222549438477
1775988139.1695688,45830,1.9896342754364014
1775988139.799727,46450,15.808462142944336
1775988140.4553268,47075,2.865886926651001
1775988141.1198382,47690,3.5927371978759766
1775988141.7699695,48305,2.7201080322265625
1775988142.4460204,48935,2.905630588531494
1775988143.1030235,49555,1.2401983737945557
1775988143.7789729,50175,1.7148807048797607
1775988144.4280005,50795,3.2549891471862793
1775988145.087632,51420,1.1814593076705933
1775988145.7274182,52035,2.6080493927001953
1775988146.3435402,52650,2.6797237396240234
1775988146.970618,53270,6.7024617195129395
1775988147.6325173,53895,1.8096033334732056
1775988148.310006,54515,3.6555302143096924
1775988148.9626956,55135,8.101642608642578
