Wall time,Step,Value
1775909516.2783563,56310,-14.491819381713867
1775909516.7554646,56920,-15.453466415405273
1775909517.198355,57530,-16.17229461669922
1775909517.640928,58140,-14.2784423828125
1775909518.0295076,58750,-14.861772537231445
1775909518.4596744,59360,-14.281305313110352
1775909518.9844604,59970,-13.654882431030273
1775909519.4336412,60580,-13.466095924377441
1775909519.9141202,61190,-14.927797317504883
1775909520.3949924,61800,-11.690479278564453
1775909520.8628774,62410,-10.856468200683594
1775909521.30342,63020,-11.095422744750977
1775909521.7486415,63630,-10.698551177978516
1775909522.1947668,64240,-10.708425521850586
1775909522.6433773,64850,-11.442464828491211
1775909523.101233,65460,-11.275458335876465
1775909523.5340133,66070,-10.926484107971191
1775909523.971661,66680,-9.679439544677734
1775909524.3771782,67290,-10.379059791564941
1775909524.7760806,67900,-10.951982498168945
1775909525.1987724,68510,-10.832775115966797
1775909525.5953474,69120,-10.234646797180176
1775909525.9937437,69730,-9.54722785949707
1775909526.3798413,70340,-9.765046119689941
1775909526.7760434,70950,-10.237014770507812
1775909527.182686,71560,-9.502246856689453
1775909527.5793262,72170,-9.767476081848145
1775909527.9672096,72780,-10.263851165771484
1775909528.3554642,73390,-9.546908378601074
1775909528.740961,74000,-8.976947784423828
1775909529.125951,74610,-9.00236701965332
1775909529.5063436,75220,-9.691709518432617
1775909529.8986862,75830,-9.351312637329102
1775909530.3013747,76440,-7.792285442352295
1775909530.69792,77050,-8.160004615783691
1775909531.0916595,77660,-9.417693138122559
1775909531.4793136,78270,-7.912095069885254
1775909531.8542712,78880,-9.132834434509277
1775909532.2602997,79490,-8.22440242767334
1775909532.6406775,80100,-8.74059009552002
1775909533.0059001,80710,-8.09328556060791
1775909533.3991082,81320,-8.733427047729492
1775909533.8075402,81930,-8.625919342041016
1775909534.202232,82540,-8.549407958984375
1775909534.5800683,83150,-8.159097671508789
1775909534.9729507,83760,-8.385146141052246
1775909535.3901353,84370,-8.256250381469727
1775909535.7640972,84980,-8.897900581359863
1775909536.1540506,85590,-8.33369255065918
1775909536.5450258,86200,-8.114410400390625
1775909536.9290476,86810,-8.868851661682129
1775909537.3131015,87420,-9.462606430053711
1775909537.711511,88030,-8.495733261108398
1775909538.1259186,88640,-8.444329261779785
1775909538.5186656,89250,-8.846240997314453
1775909538.938263,89860,-7.846328258514404
1775909539.3927524,90470,-7.77609920501709
1775909539.814131,91080,-8.529308319091797
1775909540.2419415,91690,-8.266984939575195
1775909540.6451561,92300,-8.145330429077148
1775909541.038349,92910,-7.784211158752441
1775909541.4316685,93520,-8.028337478637695
